lat,lon,elevation,ai_risk_score
13.0320471,80.2775503,11.0,0.7395787
13.0302132,80.2768724,8.0,0.98310226
13.029667,80.2767027,9.0,0.98241067
13.0286414,80.2763859,7.0,0.99456376
13.0266872,80.2755921,9.0,0.994555
13.0258557,80.2752027,6.0,0.9993548
13.0240343,80.2739707,7.0,0.9997986
13.0187071,80.2671583,9.0,0.9976546
13.0319035,80.2116595,12.0,0.19491425
13.0691904,80.2057882,11.0,0.7712775
13.0722465,80.2020302,12.0,0.21665877
13.0091943,80.2286092,14.0,0.511048
13.0067745,80.2476214,6.0,0.9922552
12.9877944,80.2513358,5.0,0.9999944
13.0647739,80.2435271,13.0,0.29975596
13.0612586,80.2431315,11.0,0.62323165
13.0595516,80.2425141,14.0,0.19491425
13.0578356,80.2427521,11.0,0.2891866
13.0401479,80.2547068,8.0,0.8577893
13.0402912,80.2534574,11.0,0.9007248
13.039099,80.2559325,12.0,0.81488556
13.0421882,80.2563956,10.0,0.5055357
13.0432611,80.2564612,12.0,0.29784864
13.0410781,80.255375,11.0,0.5664924
13.0392354,80.2550668,12.0,0.4117736
13.0397473,80.2560404,12.0,0.86867404
13.0394757,80.2576329,9.0,0.96401554
13.0403598,80.2561423,8.0,0.80791855
13.0396146,80.2503881,8.0,0.8205152
13.035305,80.2507807,12.0,0.59465706
13.0390767,80.2494016,11.0,0.64520556
13.0394748,80.2494581,11.0,0.5386082
13.0403964,80.2494772,13.0,0.70351624
13.0393786,80.2475131,11.0,0.32879022
13.0495993,80.2531164,13.0,0.19491425
13.0449833,80.261593,13.0,0.62423664
13.0446855,80.2635724,15.0,0.5416091
13.0460945,80.2564512,9.0,0.3062941
13.0620121,80.2454509,12.0,0.46764904
13.0679245,80.2477466,15.0,0.19491425
13.0661996,80.2445707,13.0,0.19491425
13.067412,80.2520847,11.0,0.6583175
13.0630376,80.2544295,10.0,0.9691431
13.0615893,80.2545384,10.0,0.9653373
13.0067719,80.2473989,6.0,0.39366138
13.0067735,80.2516348,11.0,0.89020336
13.0066002,80.2544176,11.0,0.7572042
13.0066762,80.2572722,11.0,0.8215885
13.0082519,80.2589687,8.0,0.9668577
13.0187137,80.2612947,8.0,0.99477744
13.0389443,80.2602802,10.0,0.49097216
13.0397349,80.2633494,9.0,0.96479744
13.0397999,80.2646004,10.0,0.82458144
13.0375787,80.2643714,11.0,0.82622313
13.0380926,80.2599115,14.0,0.22492427
13.0377933,80.2605347,12.0,0.19491425
13.0376335,80.2641154,10.0,0.8510342
13.0366629,80.2680955,12.0,0.25510114
13.0355566,80.2700849,11.0,0.56231767
13.0347529,80.2714984,11.0,0.5038689
13.0190482,80.2615779,8.0,0.99921155
13.0202745,80.2626659,7.0,0.99701935
13.0241481,80.2644376,8.0,0.99684286
13.0262774,80.2659605,7.0,0.9997358
13.0292597,80.2664844,10.0,0.9320017
13.035276,80.2679635,13.0,0.4078763
13.0395644,80.2677474,8.0,0.93985623
13.0413425,80.2682682,7.0,0.9457981
13.0418888,80.2682594,10.0,0.6266281
13.0508401,80.2641332,11.0,0.89718777
13.0527957,80.2638646,11.0,0.8438851
13.0610485,80.2651974,8.0,0.736765
13.0627373,80.267121,6.0,0.99439853
13.0583,80.2654066,11.0,0.6902939
13.0585628,80.2684415,11.0,0.656189
13.0587785,80.2701542,10.0,0.8604881
13.0591217,80.2711587,9.0,0.94763905
13.0592669,80.2714493,8.0,0.9940923
13.0586859,80.2757062,9.0,0.8139405
13.0585347,80.2763519,10.0,0.90889126
13.05483,80.2543033,12.0,0.24674107
13.0534451,80.2689097,9.0,0.9763065
13.053249,80.2712743,8.0,0.9924469
13.0530865,80.2722303,8.0,0.98430693
13.0527706,80.2737522,9.0,0.9896568
13.0522258,80.2754042,9.0,0.9812577
13.0505402,80.2798381,10.0,0.98006284
13.0500527,80.2806834,8.0,0.99914587
13.0506863,80.2806534,7.0,0.9815083
13.0453213,80.2598607,13.0,0.7338159
13.0475717,80.2612511,10.0,0.92587245
13.0482192,80.2616175,9.0,0.8943485
13.0501726,80.2622741,9.0,0.6150665
13.0507822,80.2624825,6.0,0.98374474
13.0509863,80.2626478,7.0,0.98428094
13.0522924,80.2637854,11.0,0.9652011
13.0462399,80.2801341,5.0,0.999933
13.0501222,80.2565908,7.0,0.95972073
13.0491111,80.25869,12.0,0.82014614
13.0469375,80.2745848,9.0,0.9668306
13.0225051,80.2781062,3.0,0.9999962
13.0296038,80.2439151,13.0,0.772685
13.0271621,80.2541257,13.0,0.32680717
13.0270995,80.2565744,8.0,0.7906966
13.0270889,80.2599259,7.0,0.99107695
13.0269501,80.2605847,8.0,0.994863
13.0268449,80.2616434,10.0,0.97333443
13.0266051,80.2633621,9.0,0.9895141
13.0250713,80.2678293,5.0,0.99988675
13.029395,80.2640795,10.0,0.8831151
13.0293243,80.2656549,10.0,0.9816109
